Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2kZ2KdE6YbHBmgXY7sMpKc,"I Feel Love - Illyus & Barrientos Remix","I Feel Love (Illyus & Barrientos Remix - Shorter Mix)","MYNC,Rhythm Masters,Wynter Gordon,Illyus Barrientos ",2019-07-12,184320,0,false,,1970-01-01T00:00:00Z,"tech house,disco house,funky house","Cr2 Records",0.588,0.716,0,-8.776,1,0.0435,0.105,0.873,0.109,0.419,125.014,4
spotify:track:3HHOoxI8hOSvd8SS2HwIDm,"Run 2 U","GET FREE","TYGAPAW",2020-11-12,318857,18,false,,1970-01-01T00:00:00Z,"ballroom vogue","NAAFI",0.615,0.824,11,-9.827,1,0.0503,0.0000107,0.891,0.111,0.745,139.98,4
spotify:track:15CfptpFnwDrhkWt8JPyfN,"Promise","Promise","Illyus Barrientos ",2020-01-10,158500,29,false,,1970-01-01T00:00:00Z,"tech house,disco house,funky house","Toolroom Records",0.642,0.904,1,-5.127,0,0.0501,0.000449,0.818,0.0141,0.69,123.987,4
spotify:track:5C8sjcGMo8Vfs5yHPZhPzT,"Together","Red","Illyus Barrientos ,Georgia Cécile",2018-10-19,375120,0,false,,1970-01-01T00:00:00Z,"tech house,disco house,funky house,soul jazz","Mother Recordings",0.68,0.921,1,-7.945,1,0.0437,0.00514,0.827,0.359,0.313,123.994,4
spotify:track:5QBCTHGf5DKB1NeDf7uWuk,"The Darkness That You Fear - HAAi Remix","The Darkness That You Fear (HAAi Remix)","The Chemical Brothers,HAAi",2021-05-28,311657,23,false,,1970-01-01T00:00:00Z,"big beat,alternative dance,electronic,breakbeat","EMI",0.584,0.773,9,-8.239,1,0.0463,0.00347,0.115,0.707,0.166,130.014,4
spotify:track:5EYlU3M7d53aDLzxJCIUqu,"Ya Know","Ya Know","Mat.Joe",2019-05-24,332903,38,false,,1970-01-01T00:00:00Z,"tech house,house","This Ain't Bristol",0.64,0.86,11,-5.492,0,0.0348,0.00165,0.0431,0.505,0.284,124.011,4
spotify:track:5LUQvjQlixLWlBSZHSVLkk,"Glow","Glow / On Off (Sébastien Léger Remix)","Cirez D",2010-02-04,557828,44,false,,1970-01-01T00:00:00Z,"techno","MOUSEVILLE RECORDS",0.786,0.837,3,-9.328,1,0.0572,0.0526,0.884,0.637,0.138,128.008,4
spotify:track:5pBF5loo6FRMIUqR5L4QWm,"Prometheus","Planeta - EP","ARTBAT",2018-02-09,471759,0,false,,1970-01-01T00:00:00Z,"melodic techno,melodic house,techno,progressive house","Diynamic Music",0.616,0.798,8,-8.142,1,0.0385,0.000535,0.693,0.112,0.0779,123.995,4
spotify:track:5RtDjaYMHJIyYHqc6JOiop,"I Feel Love - Illyus & Barrientos Remix - Radio Edit","I Feel Love (Illyus & Barrientos Remix)","MYNC,Rhythm Masters,Wynter Gordon,Illyus Barrientos ",2017-10-06,264974,0,false,,1970-01-01T00:00:00Z,"tech house,disco house,funky house","Cr2 Records",0.609,0.786,0,-8.379,1,0.0501,0.0176,0.871,0.0892,0.484,125.015,4
spotify:track:0TN9m8rp3ZuNi4JwCKSans,"U Don't Know Me (feat. Duane Harden)","2 Future 4 U","Armand Van Helden,Duane Harden",1998-01-01,484533,62,false,,1970-01-01T00:00:00Z,"disco house,funky house,future house","London Music Stream/Because Music",0.742,0.756,10,-6.197,1,0.0825,0.0213,0.0227,0.0553,0.81,129.963,4
