Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1u1ATklwZesAvq1whHsI8Z,"Blade Runner - End Titles","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,279373,48,false,,2019-12-12T21:42:04Z,"new age","EastWest U.K.",0.441,0.655,5,-15.734,0,0.0363,0.00237,0.96,0.24,0.149,113.108,4
spotify:track:2oDR7QWoLBk9VYMwsFbRGq,"Love Theme","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,295693,55,false,,2019-12-12T21:42:04Z,"new age","EastWest U.K.",0.188,0.12,1,-20.95,1,0.0366,0.572,0.42,0.0933,0.0379,110.244,3
spotify:track:0aQducLdlpix3u5yL6MfYT,"Líneas En Hojas","De Facto","Lorelle Meets The Obsolete",2019-01-11,209106,24,false,,2019-12-12T21:42:04Z,"neo-psychedelic,space rock,psychedelic rock,shoegaze,krautrock","Registros El Derrumbe",0.503,0.536,5,-9.019,1,0.0324,0.0117,0.871,0.0753,0.557,122.533,4
spotify:track:0cLS7FslBJgsuWwJNRnPWB,"Doin' Time","Doin' Time","Lana Del Rey",2019-05-17,201996,0,true,,2019-12-12T21:42:04Z,"","Polydor Records",0.621,0.692,7,-5.837,0,0.0435,0.336,0.000458,0.0877,0.446,144.968,4
spotify:track:0cSnUM2fNEx4pAkNfWpdkU,"Blush Response","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,346693,45,false,,2019-12-12T21:42:04Z,"new age","EastWest U.K.",0.207,0.304,2,-19.516,1,0.033,0.42,0.364,0.352,0.0843,97.123,4
spotify:track:1LwP9g1Hjbs64jXM2Qsxry,"Just Like Honey","Psychocandy (Expanded Version)","The Jesus and Mary Chain",1985-11-18,182493,59,false,,2019-12-12T21:42:04Z,"shoegaze,post-punk,dream pop,new wave,noise rock","Rhino",0.341,0.552,8,-10.503,1,0.0423,0.0000802,0.616,0.0591,0.486,121.361,4
spotify:track:2lwbjZkzcDkMSf0a4o0Ax1,"Wait for Me","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,327533,45,false,,2019-12-12T21:42:04Z,"new age","EastWest U.K.",0.471,0.363,11,-18.672,0,0.0359,0.538,0.784,0.108,0.172,157.834,4
spotify:track:2LxEIWrZkzfc55c3rk05DH,"Tears in Rain","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,180933,51,false,,2019-12-12T21:42:04Z,"new age","EastWest U.K.",0.21,0.155,0,-25.255,1,0.0349,0.0767,0.762,0.352,0.0379,96.349,4
spotify:track:5G5nh3jjhLWuskhmSBwEHr,"Flying Foxes","Play - The B Sides","Moby",1999-05-17,376400,0,false,,2019-12-12T21:42:04Z,"downtempo,trip hop","Mute, a BMG Company",0.543,0.572,1,-10.369,0,0.0276,0.000207,0.896,0.105,0.13,94.975,4
spotify:track:5JtTSaH8W6UVqViPgpcqTq,"Rachel's Song","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,288000,55,false,,2019-12-12T21:42:04Z,"new age","EastWest U.K.",0.377,0.238,2,-19.388,0,0.0305,0.712,0.922,0.117,0.0722,58.722,4
spotify:track:6baN5nSUIVTsUyugSuAj7U,"Main Titles","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,222373,50,false,,2019-12-12T21:42:04Z,"new age","EastWest U.K.",0.215,0.22,4,-19.356,1,0.0456,0.0016,0.262,0.442,0.033,117.476,4
spotify:track:5wN0Qf0iHLcWbCugUtQLNp,"Gosh","In Colour","Jamie xx",2015-06-01,291018,1,false,,2019-12-12T21:42:04Z,"","Young Turks Recordings",0.752,0.46,10,-12.285,0,0.069,0.017,0.783,0.0918,0.379,139.464,4
spotify:track:6kicsnoSgwTPWYPlxTDB2t,"Pont des Arts","Tourist (Remastered)","St Germain",2000,446146,51,false,,2019-12-12T21:42:04Z,"jazz house,nu jazz,acid jazz,downtempo,lounge","Parlophone (France)",0.729,0.567,3,-9.844,0,0.0402,0.0505,0.488,0.115,0.63,124.441,4
spotify:track:0bDGRgM2M8D1rIjjJKeDnK,"Feet - Edit","Feet","Fat White Family",2019-01-10,205210,17,false,,2019-12-12T21:42:04Z,"space rock","Domino Recording Co",0.605,0.905,7,-6.192,1,0.0563,0.00413,0.366,0.0851,0.554,105.528,4
spotify:track:575blCgesVtCu0HEYaIcas,"Blade Runner Blues","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,534400,53,false,,2019-12-12T21:42:04Z,"new age","EastWest U.K.",0.182,0.0784,2,-26.043,1,0.0389,0.478,0.00263,0.137,0.0817,106.712,4
spotify:track:6UmlQxijOG2OiI1V3GIrEg,"New Song","Heads Up","Warpaint",2016-09-23,256440,0,false,,2019-12-12T21:42:04Z,"dream pop","Rough Trade",0.585,0.895,0,-5.131,0,0.0486,0.0251,0.102,0.12,0.578,119.951,4
spotify:track:515ka3A61zIelXCIRdfFIe,"Sleep Sound","In Colour","Jamie xx",2015-06-01,232622,0,false,,2019-12-12T21:42:04Z,"","Young Turks Recordings",0.74,0.455,5,-13.732,0,0.0478,0.649,0.897,0.419,0.105,118.19,4
spotify:track:3ZzhV6JIDKWvWR7wiKWD0C,"La femme d'argent","Moon Safari","Air",1998-01-16,426614,67,false,,2019-12-12T21:42:04Z,"trip hop,downtempo","Parlophone (France)",0.489,0.735,6,-8.238,0,0.0345,0.529,0.686,0.422,0.528,159.716,4
